TeamNumber,Name,City,State,Country,ImageURL
1828,BoxerBots,Vail,Arizona,USA,
1829,Carbonauts,Accomack County,Virginia,USA,
1830,Mighty Bookers,Norfolk,VA,USA,
1831,Screaming Eagles,Gilford,New Hampshire,USA,
1832,Duck Tape,Oklahoma City,Oklahoma,USA,
1833,Team BEAN,Cumming,Georgia,USA,
1834,Evolution,San Jose,California,USA,
1835,Wreckless Creation,Toronto,ON,Canada,
1836,The MilkenKnights,Los Angeles,California,USA,
1837,Madi,Tallulah,LA,USA,
1838,Bobcats,Rexburg,ID,USA,
1839,Techattack,Saint Anthony,ID,USA,
1840,Diggers,Sugar City,ID,USA,
1841,Crazy Bred......Yeeeeaah!!,plantation,FL,USA,
1842,Twisted E.G.O.,Fort Pierce,FL,USA,
1843,Trobots,Rigby,ID,USA,
1844,The Eggineers,Portland,Oregon,USA,
1845,Cyber Panthers,Atlanta,GA,USA,
1846,Le Vortex,Sarnia,Ontario,Canada,
1847,WRATH,Kansas City,Kansas,USA,
1848,SOUP,Atlanta,GA,USA,
1849,Griffins,Washington,DC,USA,
1850,Mechanicats,Chicago,Illinois,USA,
1851,Manic Mechanics,Sun Valley,CA,USA,
1852,Team Amore,Scottsdale,AZ,USA,
1853,Ruskin Eagles,Kansas City,MO,USA,
1854,Gatorbotics B,Palo Alto,California,USA,
1855,MagnoBots,Reseda,CA,USA,
1856,Gear Heads,Redford,MI,USA,
1857,Citrus Sparks,Davis,California,USA,
1858,Spartans,Slidell,LA,USA,
1859,RoboJacks,Bogalusa,LA,USA,
1860,Alphabots,Sao Jose dos Campos,São Paulo,Brazil,
1861,SHARC,Aurora,CO,USA,
1862,Red Raiders ,Cliffside Park,NJ,USA,
1863,Titan it up!,Tulsa,OK,USA,
1864,Automata,Milwaukee,WI,USA,
1865,RoboBuffs,Missouri City,TX,USA,
1866,The Cardinals,Swansea,MA,USA,
1867,The Prowlers,Houston,TX,USA,
1868,Space Cookies,Mountain View,California,USA,
1870,The Lightning Arx,Red Deer,AB,Canada,
1871,Panter Machine,CHarles City,VA,USA,
1872,Steel Lions,San Juan,Puerto Rico,USA,
1873,CRT,Columbia,MO,USA,
1875,Purple Haze,Cocoa,FL,USA,
1876,Beachbotics,Hilton Head Island,South Carolina,USA,
1877,Mechanical Mafia,Dahlonega,GA,USA,
1879,Minor High School,Adamsville,AL,USA,
1880,Warriors of East Harlem,New York,New York,USA,
1881,Gamma Elite,Paterson,NJ,USA,
1882,Rebel Robotics,Farmingdale,NJ,USA,
1883,Dragons,Las Vegas,NV,USA,
1884,Griffins,London,England,United Kingdom,
1885,Comet Robotics,Haymarket,Virginia,USA,
1886,Hawks,Ijamsville,MD,USA,
1887,Russet Robotix,Shelley,ID,USA,
1888,West Robotics,plano,TX,USA,
1889,Haze,Wellington,FL,USA,
1890,EOT,Nashville,TN,USA,
1891,Bullbots,Boise,Idaho,USA,
1893,High Tech Parrots,Baltimore,MD,USA,
1894,The Elite,Baltimore,MD,USA,
1895,Lambda Corps,Manassas,Virginia,USA,
1896,Concussive Engineers,Traverse City,Michigan,USA,
1897,Red Hot Chile Dragons,Albuquerque,NM,USA,
1898,Westside Wolves,Houston,TX,USA,
1899,Saints Robotics,Bellevue,Washington,USA,
1900,Rough Riders,Washington,DC,USA,
1901,Ramrod,St. Marys,ON,Canada,
1902,Exploding Bacon,Orlando,Florida,USA,
1904,Warbots,Baltimore,MD,USA,
1905,KCbotics,Kansas City,MO,USA,
1906,WeBeRoyBotics,Roy,UT,USA,
1907,Birds of Prey,Farmville,VA,USA,
1908,ShoreBots,Eastville,Virginia,USA,
1909,G-Tech,Boston,MA,USA,
1910,Hawlets,Kansas City,MO,USA,
1911,Techno-Horns,Fort Benton,MT,USA,
1912,Team Combustion,Slidell,Louisiana,USA,
1913,Livewire,Covington,LA,USA,
1914,The MidKnight Inventors,Princeton Junction,New Jersey,USA,
1915,Firebird Robotics,Washington,District of Columbia,USA,
1916,MP Robotics,Roxbury,MA,USA,
1917,T.O.M. (Teckies Operating Machinery),Prescott,AZ,USA,
1918,NC GEARS,Fremont,Michigan,USA,
1919,Knights of the Heights,South Boston,MA,USA,
1920,McMain Hurricanes,New Orleans,Louisiana,USA,
1922,Oz-Ram,Contoocook,New Hampshire,USA,
1923,The MidKnight Inventors,Plainsboro,New Jersey,USA,
1925,Jags,West Hills,CA,USA,
1926,Team 8-Bit,Mesa,AZ,USA,
1927,Tempest,Biloxi,Mississippi,USA,
1929,FoxyBots,Montclair,NJ,USA,
1930,Comets,Henrietta,NY,USA,
1931,Hornets,Little Falls,NJ,USA,
1932,RoboRustlers,Great Falls,MT,USA,
1933,Doncaster Destroyers,Doncaster,ENG,Kingdom,
1934,AI,London,ENG,Kingdom,
1935,Team Happycat,Toronto,ON,Canada,
1937,Elysium,Modi'in-Maccabim Reu't,HaMerkaz,Israel,
1938,Manhattan High School,Manhattan,MT,USA,
1939,THE KUHNIGHTS,Kansas City,Missouri,USA,
1940,Tech Tigers 1940,Benton Harbor,Michigan,USA,
1941,Detroit Rocks Robotics,Detroit,MI,USA,
1942,Cinderella Tel-Nof,Gadera,HaMerkaz,Israel,
1943,Neat Team,rosh ha'ayin,HaMerkaz,Israel,
1944,Airforce High School,Haifa,Haifa,Israel,
1945,Most Wanted Robotics,Nazareth,Z,Israel,
1946, FG,Tamra GLIL,HaZafon (Northern),Israel,
1947,BlacKnight Robotics,Hadera,M,Israel,
1948,GreenGang,Kfar Saba,M,Israel,
1949,shapira,Natanya,M,Israel,
1950,Emek Hefer,Emek Hefer,Z,Israel,
1951,Ort Singolovsky,Tel Aviv,TA,Israel,
1952,Arming High School,tzrifin,HaMerkaz (Central),Israel,
1954,ElectroBunny,Be'er Sheva,HaDarom,Israel,
1955,Beit Yerah,Emek Hayarden,Z,Israel,
1956,UA,Umm Alfahem,Z,Israel,
1957,LighTeam,Katzrin,Z,Israel,
1959,Bengal Bots,Blythewood,SC,USA,
1960,GO DARBY!,Darby,MT,USA,
1961,GreenvilleSeniorHigh,Greenville,SC,USA,
1962,Zilch,Boston,MA,USA,
1963,PSC Robotics,Winchester,ENG,Kingdom,
1965,Firebirds,Cambridge,Massachusetts,USA,
1966,Knights,Missoula,MT,USA,
1967,The Janksters,San Jose,California,USA,
1970,Bulldogs,Menlo Park,California,USA,
1972,Searing Engineering,El Centro,California,USA,
1973,Burning Tiger   #1973,Boston,Massachusetts,USA,
1974,Weber Tech,Stockton,CA,USA,
1975,Team QUEEN,Millton,MA,USA,
1976,The Missing Lynx,Eden,TX,USA,
1977,The PowerSquids,Loveland,Colorado,USA,
1978,Bulldogs,Phoenix,AZ,USA,
1980,The Brigade,Aberdeen,MD,USA,
1981,The Gearheads,Independence,MO,USA,
1982,Cougar Robotics,Shawnee,Kansas,USA,
1983,Skunk Works Robotics,Seattle,Washington,USA,
1984,Raider Robotics,Overland Park,Kansas,USA,
1985,Robohawks,Florissant,Missouri,USA,
1986,Team Titanium,Lees Summit,Missouri,USA,
1987,Broncobots,Lees Summit,Missouri,USA,
1988,The Sweetie Pies,Wales,WI,USA,
1989,Viking Robotics,Vernon,New Jersey,USA,
1990,Colts,Lodi,OH,USA,
1991,The Dragons,Hartford,Connecticut,USA,
1992,Raytown South Robocards,Raytown,MO,USA,
1994,Quixote,Kansas City,Kansas,USA,
1995,Fatal Error,Bangor,ME,USA,
1996,Wildcat Robotics,Blue Springs,MO,USA,
1997,STAGROBOTICS,Roeland Park,Kansas,USA,
1998,Robodogz,Dearborn Heights,MI,USA,
1999,O.U.T.E.R L.I.M.I.T.,Fort Walton Beach,FL,USA,
2000,TEAM ROCK,Dorr,MI,USA,
2001,HERMES,Kansas City,Missouri,USA,
2002,Tualatin Robotics,Tualatin,Oregon,USA,
2004,Thunderducks,Tulsa,Oklahoma,USA,
2005,Aerobotechs,Kansas City,MO,USA,
2007,Robots of the Round Table,Duluth,GA,USA,
2008,VTEC,Kansas City,MO,USA,
2009,Robo-Titans,Roxbury,MA,USA,
2010,The Lightning Bots,Warren,Ohio,USA,
2011,SMH Robotics,Independence,MO,USA,
2012,@ Zenith,North Kansas City,MO,USA,
2013,Cybergnomes,New Lowell,Ontario,Canada,
2014,Spartans,St. Louis,MO,USA,
2015,Static shock,Holland,MI,USA,
2016,Mighty Monkey Wrenches,Ewing,New Jersey,USA,
2017,Trojans,Etobicoke,ON,Canada,
2019,Robo Runners,El Cajon,CA,USA,
2021,F.A.R. ,Fredericksburg,VA,USA,
2022,Titan Robotics,Aurora,Illinois,USA,
2023,PiraTech,Melbourne,FL,USA,
2024,Warrior Pride,Hilo,Hawaii,USA,
2025,Aztecs,Barstow,CA,USA,
2026,Senai,Porto Alegre,RS,Brazil,
2027,Robotic Dragons,Old Westbury,New York,USA,
2028,Phantom Robotics,Hampton,Virginia,USA,
2029,Neo-Tech Robotics,Ramona,California,USA,
2030,RoboTigers,Kansas City,MO,USA,
2031,Brainy-Actz,Columbus,OH,USA,
2032,Funky Monkeys,San Diego,CA,USA,
2033,Eagles,Chicago,IL,USA,
2034,IncrediBULLS,North Las Vegas,Nevada,USA,
2035,The Rockin' Bots,Carmel,California,USA,
2036,Boulder Valley Black Knights,Boulder,Colorado,USA,
2037,Oranje Lions,Brunssum,LI,Netherlands,
2038,Sky Bandits,Griffin,GA,USA,
2039,Rockford Robotics,Rockford,Illinois,USA,
2040,DERT - Dunlap Eagles Robotics Team,Dunlap,Illinois,USA,
2041,(RC)2,Chicago,IL,USA,
2042,Robo-trees,Santa Clarita,CA,USA,
2043,Frequency 2043,Roxbury,MA,USA,
2044,Big Red Robotics,Papillion,NE,USA,
2045,Robo-Techs,Oklahoma City,OK,USA,
2046,Bear Metal,Maple Valley,Washington,USA,
2047,Team Challenger,Chicago,IL,USA,
2048,The Pink Panthers,Detroit,Michigan,USA,
2049,Sartech,Gravataí,RS,Brazil,
2050,SEB,Detroit,MI,USA,
2051,The Beattie Bulldogs,Allison Park,Pennsylvania,USA,
2052,KnightKrawler,New Brighton,Minnesota,USA,
2053,Southern Tier Robotics,Vestal,New York,USA,
2054,Tech Vikes,Hopkins,Michigan,USA,
2055,RoboForce,Cary,NC,USA,
2056,OP Robotics,Stoney Creek,Ontario,Canada,
2057,AV CyberBulls,Las Vegas,NV,USA,
2059,The Hitchhikers,Apex,North Carolina,USA,
2060,ECHS Robotics,Tulsa,OK,USA,
2061,Pioneers,N Las Vegas,NV,USA,
2062,CORE 2062,Waukesha,Wisconsin,USA,
2063,Green Machine,Turlock,CA,USA,
2064,The Panther Project,Southbury / Middlebury,Connecticut,USA,
2065,The Lions,Holly Springs,MS,USA,
2066,PFTB of Doom,El Centro,CA,USA,
2067,Apple Pi,Guilford,Connecticut,USA,
2068,Metal Jackets,Manassas,Virginia,USA,
2069,Black Widow,Las Vegas,NV,USA,
2070,Royals,Ridgefield,New Jersey,USA,
2071,Autonomous Eagles,Arimo,ID,USA,
2072,Carver RoboTechs,Houston,TX,USA,
2073,EagleForce,Elk Grove,California,USA,
2074,Robohoundz,Portsmouth,VA,USA,
2075,Enigma Robotics,Grand Rapids,Michigan,USA,
2076, Scots,Toronto,ON,Canada,
2077,Laser Robotics 2077,Wales,Wisconsin,USA,
2078,Robotic Wolves,Covington,Louisiana,USA,
2079,4H ALARM Robotics,Franklin,Massachusetts,USA,
2080,Torbotics,Hammond,Louisiana,USA,
2081,Icarus,Peoria,Illinois,USA,
2083,Team Blitz,Conifer,Colorado,USA,
2084,Robots by the C,Manchester,Massachusetts,USA,
2085,RoboDogs,Vacaville,California,USA,
2087,BFG (Building Future Generations),Canby,OR,USA,
2089,IO,Lajeado,RS,Brazil,
2090,Buff 'n Blue,Honolulu,Hawaii,USA,
2091,Olympians,New Orleans,LA,USA,
2092,Beaufort Robotics ,Beaufort,SC,USA,
2093,Bowtie Brigade,Portland,OR,USA,
2095,Direct Current,Newtown Square,Pennsylvania,USA,
2096,RoboActive,Dimona,HaDarom,Israel,
2097,Phoenix Force Robotics,Tukwila,Washington,USA,
2098,Bulldogs,Atlanta,GA,USA,
2099,Blue on Blue,Jamaica Plain,MA,USA,
2100,M Squared,Port St. Lucie,FL,USA,
2102,Team Paradox,Encinitas,California,USA,
2103,Fisherman,Gloucester,MA,USA,
2104,The Colonels,Worcester,MA,USA,
2105,University Park,Worcester,MA,USA,
2106,The Junkyard Dogs,Goochland,Virginia,USA,
2107,Angry Bots,Norfolk,Virginia,USA,
2108,Team Awkward Turtle,Cary,NC,USA,
2109,Knight Vision,Kansas City,MO,USA,
2110,CHS,Charlestown,MA,USA,
2111,Eagles,Gilbert,AZ,USA,
2112,PHP Robo Warriors,Pembroke Twnshp,IL,USA,
2115,Nightmares,Mundelein,Illinois,USA,
2116,Rock County Robotics,Stoughton,WI,USA,
2117,The West Georgia Wolvotics,Carrollton,GA,USA,
2119,SCAR (Sequoyah Computer Animation and Robotics),Canton,GA,USA,
2120,doncaster ,doncaster,ENG,Kingdom,
2121,Mecha Clerks,Washington,DC,USA,
2122,Team Tators,Boise,Idaho,USA,
2124,X-Factor,Hyde Park,MA,USA,
2125,Urban Science,West Roxbury,MA,USA,
2126,BCLA,Brighton,MA,USA,
2127,JQUS,Boston,MA,USA,
2128,SciTech,Laveen,AZ,USA,
2129,Ultraviolet,Minneapolis,Minnesota,USA,
2130,Alpha+,Bonners Ferry,Idaho,USA,
2132,Mustangs,Baltimore,MD,USA,
2133,H.E.A.T.,Hohenwald,TN,USA,
2134,Aztecs,Tempe,AZ,USA,
2135,Presentation Invasion,San Jose,California,USA,
2136,Impossible Mission Force,Chicago,Illinois,USA,
2137,The Oxford RoboCats,Oxford,Michigan,USA,
2139,Road Runners,Las Vegas,NV,USA,
2140,Team Synergy,Pemberton,NJ,USA,
2141,Spartronics,Concord,California,USA,
2142,Lakeview,Laleview,OR,USA,
2143,Team Tobor,Eau Claire,Wisconsin,USA,
2144,Gators,Atherton,California,USA,
2145,HAZMATS,Linden,Michigan,USA,
2147,CHUCK,Spokane,Washington,USA,
2148,Mechaknights,Spokane,Washington,USA,
2149,CV Bearbots,Veradale,Washington,USA,
2150,W-Squared,Palos Verdes Peninsula,CA,USA,
2151,PMSA Monty Pythons,Forest Park,Illinois,USA,
2152,S*M*A*S*H,Port Orange,Florida,USA,
2153,Chassell Robotics,Chassell,MI,USA,
2154,AzTechs,Calexico,CA,USA,
2156,Wire Freaks,Sacramento,CA,USA,
2157,Apollo ,Houston,TX,USA,
2158,the ausTIN CANs,Austin,Texas,USA,
2159,RoboPirates,San Leandro,CA,USA,
2161,Robocats,Huntington Station,New York,USA,
2162,MacAttacks,Boston,MA,USA,
2163,ChromePanthers,Lapeer,MI,USA,
2164,The Core,Harrisonville,Missouri,USA,
2165,BisonBots,Bartlesville,Oklahoma,USA,
2166,Bluebotics,Oakville,ON,Canada,
2167,Radical Tech,Maryville,Missouri,USA,
2168,Aluminum Falcons,Groton,Connecticut,USA,
2169,KING TeC,Savage,Minnesota,USA,
2170,Galvanized Guardians,Glastonbury,Connecticut,USA,
2171,RoboDogs,Crown Point,Indiana,USA,
2172,Steel Unit-E,Lakewood,Ohio,USA,
2173,Robo Rocks,Bay St. Louis,MS,USA,
2174,Iron Eagles,Watts,CA,USA,
2175,The Fighting Calculators,Woodbury,Minnesota,USA,
2176,MAD SCIENTIST ASSOCIATION,Starkville,MS,USA,
2177,The Robettes,Mendota Heights,Minnesota,USA,
2178,RioBotics,Oxnard,CA,USA,
2180,Zero Gravity,Hamilton,New Jersey,USA,
2181,GEARS,Blaine,Minnesota,USA,
2182,Tyborgs,Slidell,LA,USA,
2183,Tigerbots,Boutte,Louisiana,USA,
2184,Team Injun Ingenuity,Whiteriver,AZ,USA,
2185,RAMAZOIDZ,Toronto,Ontario,Canada,
2186,Dogs of Steel,Chantilly,Virginia,USA,
2187,Team Volt,Conway,South Carolina,USA,
2188,Critical Mass,Belding,MI,USA,
2189,woodland Robotics,Woodland,CA,USA,
2190,Team Hero,Petal,Mississippi,USA,
2191,Flux Core,Hamilton,New Jersey,USA,
2192,YAK Attack,Newport,OR,USA,
2193,EPIC Robotics,Chula Vista,CA,USA,
2194,Fondy Fire,Fond du Lac,Wisconsin,USA,
2196,Béésh Bá'áh Alchini,Shiprock,NM,USA,
2197,Las Pumas,New Carlisle,Indiana,USA,
2198,Paradigm Shift Robotics,Toronto,Ontario,Canada,
2199,Robo-Lions,Finksburg,Maryland,USA,
2200,BCR Blackout,Burlington,Ontario,Canada,
2201,TGM,Grandview,MO,USA,
2202,BEAST Robotics,Brookfield,Wisconsin,USA,
2203,Cyber-Eagles,Bronx,NY,USA,
2204,Rambots,Hayward,California,USA,
2205,Juggernauts,Mount Vernon,NY,USA,
2206,Ehret Patriots,Marrero,LA,USA,
2207,Bright Bears,White Bear Lake,Minnesota,USA,
2208,Makif Dalet,Ashdod,D,Israel,
2209,Rabin HS,Beer Sheva,D,Israel,
2210,Yarka High School,Yarka,Z,Israel,
2211,Ort IAI,Lod,M,Israel,
2212,The Spikes,Lod,HaMerkaz,Israel,
2213,AXIOM,Nahariya,HaZafon (Northern),Israel,
2214,ASSIT,Yemin Orde,HA,Israel,
2215, Akkoleon,Akko,Z,Israel,
2216,robodim,Dimona,HaDarom (Southern),Israel,
2217,Kiryat Motzkin,Kiryat Motzkin,Z,Israel,
2219,Megahurts,Carbondale,IL,USA,
2220,Blue Twilight,Eagan,Minnesota,USA,
2221,FHS Robodawgs,Mandeville,Louisiana,USA,
2222,Abes,Tacoma,WA,USA,
2223,B-ROC,Philadelphia,PA,USA,
2224,RoboPhoenix,Detroit,Michigan,USA,
2225,Rebel Robotics,Champlin,Minnesota,USA,
2226,Bronco's,Blanding,UT,USA,
2227,Tigers,Fridley,Minnesota,USA,
2228,CougarTech,Honeoye Falls,New York,USA,
2229,ROBOSHOP,Plymouth Meeting,PA,USA,
2230,General Angels,Herzliya,HaMerkaz,Israel,
2231,OnyxTronix,Shoham,HaMerkaz,Israel,
2232,Deus ex Machina,Anoka,Minnesota,USA,
2234,Alternating Current,Newtown Square,Pennsylvania,USA,
2235,Abraxas Metal Heads,Poway,CA,USA,
2236,Genese Team,Sao Paulo,SP,Brazil,
2237,The Junkyard Robo's,Beckley,WV,USA,
2239,Technocrats,Hopkins,Minnesota,USA,
2240,Brute Force,Denver,Colorado,USA,
2241,SWAT team,Coon Rapids,MN,USA,
2242,Cyber Claw,New Orleans,Louisiana,USA,
2243,BRATECC,Campinas,SP,Brazil,
2244,The Chips,Osasco,SP,Brazil,
2245,PANTHERS,Frankfort,MI,USA,
2246,The Army of Sum,Johannesburg,Michigan,USA,
2247,FB HT,Gravataí,RS,Brazil,
2249,KISS,Billings,MT,USA,
2250,Lancerbotics,Denver,CO,USA,
2251,Hawks,Bozeman,MT,USA,
2252,The Mavericks,Milan,Ohio,USA,
2254,Twisted Transistors,Mississauga,ON,Canada,
2257,Afula High School,Afula,Z,Israel,
2259,1/4 Twenties,Denver,Colorado,USA,
2260,Transformers,Edwards,CO,USA,
2261,Casa Robotics,Longmont,Colorado,USA,
2262,Robo-Panthers,Holliston,Massachusetts,USA,
2264,Trojan Robotics,Minneapolis,Minnesota,USA,
2265,Fe Maidens,Bronx,New York,USA,
2266,Colegio Sacramentinas,Salvador,BA,Brazil,
2269,Dragons,Lindale,GA,USA,
2272,Metalheads,Thousand Oaks,CA,USA,
2273,The Mechanix Coalition,Surrey,BC,Canada,
2274,Fuego,Bronx,NY,USA,
2275,Bello Bots,Denver,CO,USA,
2276,STARS of Cypress ,Cypress,TX,USA,
2278,AVENGING PLUTO,Orlando,FL,USA,
2279,The Butlers,Butler,PA,USA,
2280,YWCA DELTA F.O.R.C.E.,Pittsburgh,PA,USA,
2283,Panteras,Mexico City,Distrito Federal,Mexico,
2285,Irvington Blue Knights 4-H,Irvington,NJ,USA,
2287,RoboTech Pirates,Sinton,TX,USA,
2288,Hydra Robotics,Vacaville,California,USA,
2290,FLYT,Rockford,Illinois,USA,
2330,F-Tech,Fletcher,OK,USA,
2332,Team Lucky,Fairview,OK,USA,
2333,Sapulpa Robotics Team,Sapulpa,Oklahoma,USA,
2334,Blue Valley CAPS Robotics,Stilwell,KS,USA,
2335,Sargon,Prairie Village,Kansas,USA,
2336,Titan Crusaders,Midlothian,VA,USA,
2337,EngiNERDs,Grand Blanc,Michigan,USA,
2338,Gear It Forward,Oswego,Illinois,USA,
2339,Robolopes,Lancaster,California,USA,
2340,Mercy Robotics-Xcentrics,Rochester,New York,USA,
2341,Sprockets,Shawnee,Oklahoma,USA,
2342,Team Phoenix,Nashua,New Hampshire,USA,
2343,Technohorns,Inola,OK,USA,
2344,The Saunders Droid Factory,Yonkers,New York,USA,
2345,Kearnage,Kearney,Missouri,USA,
2346,Cel-Techs,Kansas City,Missouri,USA,
2347,Trial and Error,Copiague,New York,USA,
2348,Mechahunes,Honolulu,Hawaii,USA,
2349,Hurriquake,Wayland,MA,USA,
2350,Region 1 Robotics,Columbus,OH,USA,
2352,Metal Mayhem,Ada,Oklahoma,USA,
2353,The Legion,Kansas City,Missouri,USA,
2354,Red River Robotics,Duncan,Oklahoma,USA,
2357,System Meltdown,Peculiar,Missouri,USA,
2358,Bearbotics,Lake Zurich,Illinois,USA,
2359,RoboLobos,Edmond,Oklahoma,USA,
2360,Tech Titan's POWER-Storm,Indianapolis,Indiana,USA,
2361,PACE Invaders,Richmond Hill,ON,Canada,
2362,Olympic Robotics,Charlotte,NC,USA,
2363,Triple Helix Robotics,Newport News,Virginia,USA,
2364,Oregon RoboHawks,Oregon,IL,USA,
2365,Lions,Phoenix,AZ,USA,
2366,Tesla Robotics,Independence,MO,USA,
2367,Lancer Robotics,Mountain View,California,USA,
2368,South Robotics,Terre Haute,IN,USA,
2369,Maximus Roboticus,Stillwater,OK,USA,
2370,IBOTS,Rutland,Vermont,USA,
2371,Eagle Pride,Morris,OK,USA,
2372,Robo-Hooters,Elgin,OK,USA,
2373,The Crickets,Fort Cobb,Oklahoma,USA,
2374,Jesuit Robotics,Portland,Oregon,USA,
2375,Dragon Robotics,Phoenix,Arizona,USA,
2376,RoboCOMETS,Tulsa,OK,USA,
2377,C Company,Pasadena,Maryland,USA,
2378,Team Mako 2378,Taloga,OK,USA,
2380,Jag Robotics,Mesa,AZ,USA,
2381,The Ark,Chicago,IL,USA,
2382,Colbert Roboleopards,Colbert,Oklahoma,USA,
2383,Ninjineers,Fort Lauderdale,Florida,USA,
2385,Obelisk Trio,Tulsa,OK,USA,
2386,Trojans,Burlington,Ontario,Canada,
2387,Alternative Robotics,Columbus,OH,USA,
2388,Pirate Robotics,Sperry,Oklahoma,USA,
2389,Oklahoma STORM,Drumright,OK,USA,
2390,Wildcats,San Ramon,CA,USA,
2391,Tiger Drive,Broken Arrow,OK,USA,
2392,Pagwire,Columbus,OH,USA,
2393,Robotichauns,Knoxville,Tennessee,USA,
2394,Eagles,Watonga,OK,USA,
2395,OKC 4-H Robotics - Ninja Munkees,Oklahoma City,Oklahoma,USA,
2396,SeeHawks,Yukon,OK,USA,
2397,Cyborgs,Phoenix,AZ,USA,
2398,Tech Walkers 2398,Tahlequah,Oklahoma,USA,
2399,The Fighting Unicorns,Shaker Heights,Ohio,USA,
2400,Wyoming!?,Sheridan,WY,USA,
2401,PATRIOTS,MAYVILLE,ND,USA,
2402,RoboJackets,Fredericksburg,Virginia,USA,
2403,Plasma Robotics,Mesa,Arizona,USA,
2404,Team NEY Techs (TNT),Pasadena,California,USA,
2405,Techno Trojans,Fruitport,Michigan,USA,
2406,CowDogs,Camp Verde,AZ,USA,
2407,Roaring Bears,Leetonia,OH,USA,
2408,Shrapnel Sergeants,Hazelwood,Missouri,USA,
2409,Da Bears,New Bedford,MA,USA,
2410,Blue Valley CAPS Metal Mustangs,Overland Park,Kansas,USA,
2411,Rebel Alliance,Portland,Oregon,USA,
2412,Robototes,Bellevue,Washington,USA,
2413,Panthers,Phoenix,AZ,USA,
2414,Spartans,Phoenix,AZ,USA,
2415,WiredCats,Atlanta,Georgia,USA,
2417,RoboCougars,Crewe,VA,USA,
2418,tomahawks,Minot,ND,USA,
2419,Team MonRobot,Brea,CA,USA,
2420,RoboTitans,Atlanta,GA,USA,
2421,RTR Team Robotics,Burke,Virginia,USA,
2422,Bucket O' Bolts,Davenport,FL,USA,
2423,The KwarQs,Watertown,Massachusetts,USA,
2424,Robot Mafia,Bixby,Oklahoma,USA,
2425,Hydra,Tampa,Florida,USA,
2427,Techno Beavers,Westmount,QC,Canada,
2428,Panthers,Sewickley,PA,USA,
2429,The Blockheads,La Canada Flintridge,California,USA,
2430,CyberStorm,Greenwood,SC,USA,
2431,TechnoColts,Detroit,MI,USA,
2432,RoboSpartans,Chicago,IL,USA,
2433,Tech Tigers,Chicago,IL,USA,
2434,Blue Devils Gear Heads,Hopewell,VA,USA,
2435,Soldiers of Technology,Lawton,OK,USA,
2436,Bearacudas,Noble,OK,USA,
2437,Lancer Robotics,Honolulu,Hawaii,USA,
2438,'Iobotics,Honolulu,Hawaii,USA,
2439,Bearbotics,Wailuku,Hawaii,USA,
2440,Saints,Honolulu,HI,USA,
2441,Spartechs,Honolulu,Hawaii,USA,
2443,Blue Thunder,Kahului,Hawaii,USA,
2444,Kamehameha RoboWarriors,Honolulu,Hawaii,USA,
2445,RoboKAP,Kapolei,Hawaii,USA,
2446,Pleasanton Slingshots,Pleasanton,CA,USA,
2447,Vikes,Hanover,MA,USA,
2448,SLT,London,ENG,Kingdom,
2449,Out of Orbit Robotics,Tempe,Arizona,USA,
2450,Wind Chill,Saint Paul,Minnesota,USA,
2451,PWNAGE,Saint Charles,Illinois,USA,
2453,Soaring Eagles,Honolulu,HI,USA,
2454,Rambotx,Honolulu,HI,USA,
2455,HRC 2455,Honoka'a,HI,USA,
2456,Team Recycle It!,San Rafael,CA,USA,
2457,The Law,Lawson,Missouri,USA,
2458,Team Chaos,Gladstone,New Jersey,USA,
2459,Golden Hawks,Waianae,Hawaii,USA,
2460,Na Paniolo,Kapaau,HI,USA,
2461,METAL-SKINS,Oklahoma City,Oklahoma,USA,
2462,Digi Bots,CHICAGO,IL,USA,
2463,The Siege ,Lexington,NC,USA,
2464,Trojans,Pahrump,NV,USA,
2465,KauaiBots,Lihue,Hawaii,USA,
2466,Menehune Robots,Waimea,HI,USA,
2467,Sabertron,Ewa Beach,HI,USA,
2468,Team Appreciate,Austin,Texas,USA,
2469,Idabots,Idabel,OK,USA,
2470,Team BJORG,Bloomington,Minnesota,USA,
2471,Team Mean Machine,Camas,Washington,USA,
2472,Centurions,Circle Pines,Minnesota,USA,
2473,Goldstrikers,Cupertino,California,USA,
2474,Excel,Niles,Michigan,USA,
2475,Caution!,Kamuela,HI,USA,
2476,The Limited,Floral Park,NY,USA,
2477,Marauder Rascals,Waipahu,Hawaii,USA,
2478,Westwood Robotics,Mesa,Arizona,USA,
2479,Phoenix,Minneapolis,Minnesota,USA,
2480,Iron Paws,Minneapolis,Minnesota,USA,
2481,Roboteers,Tremont,Illinois,USA,
2483,Clawbotz,Fayetteville,NC,USA,
2484,Team Implosion,Woods Cross,Utah,USA,
2485,Overclocked,San Diego,California,USA,
2486,CocoNuts,Flagstaff,Arizona,USA,
2487,Mechanical Animals,West Sayville,New York,USA,
2488,Plasma Pumas,Rochester,MN,USA,
2489,The Insomniacs,San Jose,California,USA,
2490,eagles,chicago,IL,USA,
2491,NoMythic,Saint Paul,Minnesota,USA,
2493,Robokong,Riverside,California,USA,
2495,Hive Mind,Hamilton,New Jersey,USA,
2496,Tru Blu Patriots,Irvine,California,USA,
2497,RoboNatick,Natick,MA,USA,
2498,BearBotics,Minneapolis,Minnesota,USA,
2499,Industrial Revolution 2499,Hibbing,Minnesota,USA,
2500,Herobotics,Minneapolis,Minnesota,USA,
